video_id,location_id,latitude,longitude,timestamp_start_ms,timestamp_end_ms,expected_type
video_1,L001,22.57262500,88.36392500,500,3750,object
video_1,L002,22.57264082,88.36394082,1000,5000,speed_limit_sign
video_1,L003,22.57264500,88.36394500,2000,4500,object
video_1,L004,22.57265500,88.36395500,3500,6000,speed_limit_sign
video_1,L005,22.57265000,88.36395000,0,7500,traffic_light
video_1,L006,22.57265832,88.36395832,4000,6500,zebra_crossing
video_1,L007,22.57267000,88.36397000,7000,8000,road_divider
video_1,L008,22.57266500,88.36396500,6500,7500,object
video_1,L009,22.57268500,88.36398500,8500,9750,object
video_1,L010,22.57268332,88.36398332,8000,9750,object
video_2,V2-L001,22.57277250,88.36407250,0,9800,object
video_2,V2-L002,22.57276000,88.36406000,0,6800,streetlight
video_2,V2-L003,22.57277250,88.36407250,0,9800,streetlight
video_2,V2-L004,22.57277250,88.36407250,0,9800,streetlight
video_2,V2-L005,22.57278000,88.36408000,2000,9800,streetlight
video_2,V2-L006,22.57277582,88.36407582,1600,9800,road_divider
video_2,V2-L007,22.57276500,88.36406500,3200,4600,zebra_crossing
video_2,V2-L008,22.57277250,88.36407250,0,9800,object
video_2,V2-L009,22.57277250,88.36407250,0,9800,object
video_2,V2-L010,22.57275000,88.36405000,2000,3400,object
video_2,V2-L011,22.57279500,88.36409500,5800,9800,no_parking_sign
video_1,FO-L001,22.57273750,88.36403750,666,708,stop_sign
video_1,FO-L002,22.57277916,88.36407916,1291,1291,no_parking_sign
video_1,FO-L003,22.57267500,88.36397500,2708,4166,school_ahead_sign
video_1,FO-L004,22.57265000,88.36395000,291,2000,speed_limit_sign
video_1,FO-L005,22.57269166,88.36399166,4666,7250,pedestrian_crossing_sign
video_1,FO-L006,22.57271000,88.36401000,7083,7208,traffic_light
video_1,FO-L007,22.57270250,88.36400250,3916,4125,zebra_crossing
video_1,FO-L008,22.57277500,88.36407500,8750,8958,road_divider
video_1,FO-L009,22.57274582,88.36404582,4666,4958,stop_sign
video_1,FO-L010,22.57275000,88.36405000,5333,5916,no_parking_sign
video_1,FO-L011,22.57274500,88.36404500,5458,6541,speed_limit_sign
video_1,FO-L012,22.57276500,88.36406500,7333,9208,traffic_light
video_1,FO-L013,22.57275500,88.36405500,7625,8458,zebra_crossing
video_1,FO-L014,22.57269332,88.36399332,6708,7333,school_ahead_sign
video_1,FO-L015,22.57270000,88.36400000,4958,5083,no_parking_sign
video_1,FO-L016,22.57272082,88.36402082,6125,6291,stop_sign
video_1,FO-L017,22.57276000,88.36406000,8291,8333,zebra_crossing
video_1,FO-L018,22.57278500,88.36408500,9083,9125,road_divider
video_1,FO-L019,22.57272500,88.36402500,6791,6875,speed_limit_sign
video_1,FO-L020,22.57274166,88.36404166,7083,7125,pedestrian_crossing_sign
video_1,FO-L021,22.57275082,88.36405082,7541,7958,traffic_light
video_1,FO-L022,22.57270000,88.36400000,4833,4833,stop_sign
video_1,FO-L023,22.57267582,88.36397582,3375,3625,school_ahead_sign
video_1,FO-L024,22.57278582,88.36408582,9250,9375,school_ahead_sign
video_1,FO-L025,22.57277500,88.36407500,8750,8750,road_divider
